piece,performer,year,measure.beat,tempo
mazurka17_4,Afanassiev,2001,58.2,58.82352941
mazurka17_4,Afanassiev,2001,58.3,34.2644031
mazurka17_4,Afanassiev,2001,59.1,58.31404957
mazurka17_4,Afanassiev,2001,59.2,41.2194476
mazurka17_4,Afanassiev,2001,59.3,47.83253192
mazurka17_4,Afanassiev,2001,60.1,47.24409449
mazurka17_4,Afanassiev,2001,60.2,42.85714286
mazurka17_4,Afanassiev,2001,60.3,40.81632653
mazurka17_4,Afanassiev,2001,61.1,57.14285714
mazurka17_4,Afanassiev,2001,61.2,68.96551724
mazurka17_4,Afanassiev,2001,61.3,78.31182673
mazurka17_4,Afanassiev,2001,62.1,73.72527162
mazurka17_4,Afanassiev,2001,62.2,80.97190775
mazurka17_4,Afanassiev,2001,62.3,75.09365418
mazurka17_4,Afanassiev,2001,63.1,73.17073171
mazurka17_4,Afanassiev,2001,63.2,72.28915663
mazurka17_4,Afanassiev,2001,63.3,90.90909091
mazurka17_4,Afanassiev,2001,64.1,81.08108108
mazurka17_4,Afanassiev,2001,64.2,85.71428571
mazurka17_4,Afanassiev,2001,64.3,83.33333333
mazurka17_4,Afanassiev,2001,65.1,85.71428571
mazurka17_4,Afanassiev,2001,65.2,80
mazurka17_4,Afanassiev,2001,65.3,86.95652174
mazurka17_4,Afanassiev,2001,66.1,80
mazurka17_4,Afanassiev,2001,66.2,73.17073171
mazurka17_4,Afanassiev,2001,66.3,65.93406593
mazurka17_4,Afanassiev,2001,67.1,58.25242718
mazurka17_4,Afanassiev,2001,67.2,69.76744186
mazurka17_4,Afanassiev,2001,67.3,65.2173913
mazurka17_4,Afanassiev,2001,68.1,49.58677686
mazurka17_4,Afanassiev,2001,68.2,46.51162791
mazurka17_4,Afanassiev,2001,68.3,46.875
mazurka17_4,Afanassiev,2001,69.1,56.60377358
mazurka17_4,Afanassiev,2001,69.2,70.58823529
mazurka17_4,Afanassiev,2001,69.3,82.44788587
mazurka17_4,Afanassiev,2001,70.1,81.38533466
mazurka17_4,Afanassiev,2001,70.2,80.5332359
mazurka17_4,Afanassiev,2001,70.3,83.33333333
mazurka17_4,Afanassiev,2001,71.1,82.19178082
mazurka17_4,Afanassiev,2001,71.2,78.94736842
mazurka17_4,Afanassiev,2001,71.3,89.55223881
mazurka17_4,Afanassiev,2001,72.1,83.33333333
mazurka17_4,Afanassiev,2001,72.2,86.95652174
mazurka17_4,Afanassiev,2001,72.3,86.95652174
mazurka17_4,Afanassiev,2001,73.1,85.71428571
mazurka17_4,Afanassiev,2001,73.2,80
mazurka17_4,Afanassiev,2001,73.3,88.23529412
mazurka17_4,Afanassiev,2001,74.1,70.58823529
mazurka17_4,Afanassiev,2001,74.2,68.18181818
mazurka17_4,Afanassiev,2001,74.3,55.55555556
mazurka17_4,Afanassiev,2001,75.1,63.82978723
mazurka17_4,Afanassiev,2001,75.2,68.96551724
mazurka17_4,Afanassiev,2001,75.3,51.3278113
mazurka17_4,Afanassiev,2001,76.1,56.02015539
mazurka17_4,Afanassiev,2001,76.2,47.38963017
mazurka17_4,Afanassiev,2001,76.3,40.90150249
mazurka17_4,Afanassiev,2001,77.1,51.85998198
mazurka17_4,Afanassiev,2001,77.2,68.96551724
mazurka17_4,Afanassiev,2001,77.3,77.64312332
mazurka17_4,Afanassiev,2001,78.1,81.38533466
mazurka17_4,Afanassiev,2001,78.2,84.50704225
mazurka17_4,Afanassiev,2001,78.3,80
mazurka17_4,Afanassiev,2001,79.1,75
mazurka17_4,Afanassiev,2001,79.2,81.08108108
mazurka17_4,Afanassiev,2001,79.3,90.504857
mazurka17_4,Afanassiev,2001,80.1,82.52502887
mazurka17_4,Afanassiev,2001,80.2,86.95652174
mazurka17_4,Afanassiev,2001,80.3,86.95652174
mazurka17_4,Afanassiev,2001,81.1,85.71428571
mazurka17_4,Afanassiev,2001,81.2,81.08108108
mazurka17_4,Afanassiev,2001,81.3,86.95652174
mazurka17_4,Afanassiev,2001,82.1,78.94736842
mazurka17_4,Afanassiev,2001,82.2,71.42857143
mazurka17_4,Afanassiev,2001,82.3,65.93406593
mazurka17_4,Afanassiev,2001,83.1,60
mazurka17_4,Afanassiev,2001,83.2,69.76744186
mazurka17_4,Afanassiev,2001,83.3,67.41573034
mazurka17_4,Afanassiev,2001,84.1,53.2823198
mazurka17_4,Afanassiev,2001,84.2,38.53659957
mazurka17_4,Afanassiev,2001,84.3,38.53659957
mazurka17_4,Afanassiev,2001,85.1,49.18032787
mazurka17_4,Afanassiev,2001,85.2,65.2173913
mazurka17_4,Afanassiev,2001,85.3,77.92207792
mazurka17_4,Afanassiev,2001,86.1,79.24765646
mazurka17_4,Afanassiev,2001,86.2,77.77777772
mazurka17_4,Afanassiev,2001,86.3,82.02870697
mazurka17_4,Afanassiev,2001,87.1,75.94936709
mazurka17_4,Afanassiev,2001,87.2,70.85475579
mazurka17_4,Afanassiev,2001,87.3,91.46847343
mazurka17_4,Afanassiev,2001,88.1,88.5957276
mazurka17_4,Afanassiev,2001,88.2,82.19178082
mazurka17_4,Afanassiev,2001,88.3,81.08108108
mazurka17_4,Afanassiev,2001,89.1,86.95652174
mazurka17_4,Afanassiev,2001,89.2,84.50704225
mazurka17_4,Afanassiev,2001,89.3,92.30769231
mazurka17_4,Afanassiev,2001,90.1,75.94936709
mazurka17_4,Afanassiev,2001,90.2,71.42857143
mazurka17_4,Afanassiev,2001,90.3,52.17391304
mazurka17_4,Afanassiev,2001,91.1,49.18032787
mazurka17_4,Afanassiev,2001,91.2,54.55782593
mazurka17_4,Afanassiev,2001,91.3,54.55782593
mazurka17_4,Afanassiev,2001,92.1,46.8567381
mazurka17_4,Afanassiev,2001,92.2,25.58635394
mazurka17_4,Afanassiev,2001,92.3,25.58635394
mazurka17_4,Afanassiev,2001,93.1,48
mazurka17_4,Afanassiev,2001,93.2,54.07062285
mazurka17_4,Afanassiev,2001,93.3,68.15547485
mazurka17_4,Afanassiev,2001,94.1,58.25242718
mazurka17_4,Afanassiev,2001,94.2,70.58823529
mazurka17_4,Afanassiev,2001,94.3,63.82978723
mazurka17_4,Afanassiev,2001,95.1,60
mazurka17_4,Afanassiev,2001,95.2,54.54545455
mazurka17_4,Afanassiev,2001,95.3,52.17391304
mazurka17_4,Afanassiev,2001,96.1,61.2244898
mazurka17_4,Afanassiev,2001,96.2,63.82978723
mazurka17_4,Afanassiev,2001,96.3,68.96551724
mazurka17_4,Afanassiev,2001,97.1,59.40594059
mazurka17_4,Afanassiev,2001,97.2,66.66666667
mazurka17_4,Afanassiev,2001,97.3,62.5
mazurka17_4,Afanassiev,2001,98.1,60
mazurka17_4,Afanassiev,2001,98.2,59.40594059
mazurka17_4,Afanassiev,2001,98.3,54.56682683
mazurka17_4,Afanassiev,2001,99.1,55.53340189
mazurka17_4,Afanassiev,2001,99.2,64.51612903
mazurka17_4,Afanassiev,2001,99.3,57.84871008
mazurka17_4,Afanassiev,2001,100.1,53.43727282
mazurka17_4,Afanassiev,2001,100.2,51.27509496
mazurka17_4,Afanassiev,2001,100.3,41.10035881
mazurka17_4,Afanassiev,2001,101.1,50.84745763
mazurka17_4,Afanassiev,2001,101.2,57.14285714
mazurka17_4,Afanassiev,2001,101.3,55.55555556
mazurka17_4,Afanassiev,2001,102.1,55.04587156
mazurka17_4,Afanassiev,2001,102.2,59.21450152
mazurka17_4,Afanassiev,2001,102.3,47.41255735
mazurka17_4,Afanassiev,2001,103.1,41.63061091
mazurka17_4,Afanassiev,2001,103.2,65.2173913
mazurka17_4,Afanassiev,2001,103.3,58.82352941
mazurka17_4,Afanassiev,2001,104.1,60.60606061
mazurka17_4,Afanassiev,2001,104.2,65.93406593
mazurka17_4,Afanassiev,2001,104.3,57.14285714
mazurka17_4,Afanassiev,2001,105.1,52.63157895
mazurka17_4,Afanassiev,2001,105.2,60.60606061
mazurka17_4,Afanassiev,2001,105.3,68.2609705
mazurka17_4,Afanassiev,2001,106.1,66.59116649
mazurka17_4,Afanassiev,2001,106.2,53.09734513
mazurka17_4,Afanassiev,2001,106.3,36.63602127
mazurka17_4,Afanassiev,2001,107.1,47.91308283
mazurka17_4,Afanassiev,2001,107.2,48
